word
afraid
afterlife
alarming
alien
angel
apparition
astronaut
autumn
bat
beast
bizarre
black
black cat
blood
bloodcurdling
bogeyman
bone
boo
broomstick
cackle
cadaver
cape
carve
casket
cat
cauldron
cemetery
chilling
cloak
clown
cobweb
coffin
corpse
costume
creepy
crown
crypt
dark
darkness
dead
demon
devil
devilish
disguise
dreadful
death
dress-up
eerie
enchant
evil
eyeballs
eyepatch
fairy
fall
fangs
fantasy
fear
flashlight
fog
fright
frighten
frightening
frightful
genie
ghastly
ghost
ghostly
ghoul
ghoulish
goblin
gory
gown
grave
gravestone
grim
grim reaper
grisly
gruesome
hair-raising
halloween
haunt
haunted house
hayride
headstone
hobgoblin
hocus pocus
horrible
horrify
howl
imp
jack-o'-lantern
jumpsuit
lantern
macabre
make-believe
make-up
magic
magic wand
mask
masquerade
mausoleum
midnight
mist
monster
moon
moonlight
moonlit
morbid
mummy
mysterious
night
nightmare
ninja
october
ogre
orange
otherworldly
owl
party
petrify
phantasm
phantom
pirate
pitchfork
poltergeist
potion
prank
pretend
prince
princess
pumpkin
queen
repulsive
revolting
robe
robot
scare
scarecrow
scary
scream
shadow
shadowy
shock
shocking
skeleton
skull
specter
spell
spider
spider web
spine-chilling
spirit
spook
spooky
startling
strange
supernatural
superstition
tarantula
terrible
terrify
thirty-first
thrilling
toga
tomb
tombstone
treat
treats
trick
trick-or-treat
troll
unearthly
unnerving
vampire
vanish
wand
warlock
web
weird
werewolf
wicked
witch
witchcraft
wizard
wizardry
wraith
zombie
